date,time,location_X,location_Y,lat,lon,mag,place,type
2023-12-09,00:31:54,238550.809044365,585663.5511156117,53.251,6.639,1.7,Thesinge,induced earthquake
2023-12-04,23:21:08,240843.63205380025,599284.5686212553,53.373,6.677,1.3,Zandeweer,induced earthquake
2023-11-26,16:04:06,243030.98076101657,581624.8913626121,53.214,6.705,0.3,Harkstede,induced earthquake
2023-11-25,13:17:27,240032.62995848057,588695.0242462979,53.278,6.662,0.4,Thesinge,induced earthquake
2023-11-12,02:27:03,238065.63835204733,590552.933230441,53.295,6.633,0.6,Bedum,induced earthquake
2023-11-05,15:41:38,238608.5549995787,601471.382204554,53.393,6.644,1.5,Rottum,induced earthquake
2023-11-02,20:32:30,240912.17979418003,599174.4791247611,53.372,6.678,1,Eppenhuizen,induced earthquake
2023-10-22,11:51:22,261167.23831677416,583438.1615262816,53.227,6.977,0.4,Nieuwolda,induced earthquake
2023-10-06,05:34:15,238274.20578461915,586215.3143028833,53.256,6.635,1.1,Zuidwolde,induced earthquake
2023-10-02,19:37:21,240976.73427589983,599286.9567281532,53.373,6.679,0.5,Eppenhuizen,induced earthquake
2023-09-15,13:31:25,240777.0809250709,599283.3759552321,53.373,6.676,1.9,Zandeweer,induced earthquake
2023-09-15,08:19:02,240777.0809250709,599283.3759552321,53.373,6.676,2,Zandeweer,induced earthquake
2023-08-31,23:47:52,244464.27745291268,594341.4499433937,53.328,6.73,1.3,Loppersum,induced earthquake
2023-08-25,01:42:01,237561.17368497263,584978.5743009965,53.245,6.624,0,Groningen,induced earthquake
2023-08-18,01:44:18,240221.2830636981,585581.5697423985,53.25,6.664,0.3,Garmerwolde,induced earthquake
2023-08-04,05:31:15,256484.9941702263,580554.0267709389,53.202,6.906,0.5,Noordbroek,induced earthquake
2023-08-01,14:53:35,247128.6812293757,590940.9870215115,53.297,6.769,0.5,Garrelsweer,induced earthquake
2023-07-21,03:57:19,241575.7866754761,602971.3094090811,53.406,6.689,0.4,Uithuizen,induced earthquake
2023-07-09,01:08:59,251075.2090623363,593690.1036861325,53.321,6.829,1.5,Appingedam,induced earthquake
2023-06-20,05:22:36,255661.18946784548,575193.3713312491,53.154,6.892,1,Muntendam,induced earthquake
2023-06-17,15:42:57,250329.0078788682,594343.1460407018,53.327,6.818,0.5,Oosterwijtwerd,induced earthquake
2023-06-09,00:26:45,248070.81505641248,580161.3190997683,53.2,6.78,0.7,Froombosch,induced earthquake
2023-05-08,07:17:46,246612.23696305917,600504.6867748119,53.383,6.764,0.5,Zijldijk,induced earthquake
2023-05-07,17:57:17,239822.49171857932,593032.6059755686,53.317,6.66,0.3,Westerwijtwerd,induced earthquake
2023-05-07,13:46:06,242290.1603911331,581945.3336295866,53.217,6.694,0.2,Harkstede,induced earthquake
2023-05-03,07:40:21,245686.58237701812,593139.8980196037,53.317,6.748,0.6,Garrelsweer,induced earthquake
2023-04-26,21:03:24,233171.33694512205,592140.4045153277,53.31,6.56,1,Wetsinge,induced earthquake
2023-04-22,04:51:33,233102.8753056186,592250.601880235,53.311,6.559,0.7,Wetsinge,induced earthquake
2023-04-19,21:02:51,247741.5889144816,590284.874740953,53.291,6.778,0.8,Garrelsweer,induced earthquake
2023-04-15,20:23:23,251064.3704468645,587567.2027699206,53.266,6.827,0.7,Steendam,induced earthquake
2023-04-12,16:47:27,246474.9143159368,600724.7054977912,53.385,6.762,2.1,Zijldijk,induced earthquake
2023-04-11,09:08:47,250928.7187400665,587675.8121789383,53.267,6.825,1.6,Steendam,induced earthquake
2023-04-09,11:36:37,256334.78860940947,587675.4976820224,53.266,6.906,0.4,Tjuchem,induced earthquake
2023-03-23,20:54:42,243377.2261484816,580963.3557803191,53.208,6.71,1.2,Scharmer,induced earthquake
2023-03-21,21:48:28,241773.267665572,603086.2084266489,53.407,6.692,1.4,Uithuizen,induced earthquake
2023-03-11,09:35:55,250657.66986457544,594572.3370797578,53.329,6.823,1,Oosterwijtwerd,induced earthquake
2023-02-28,08:18:31,240392.6894521993,602170.8040766243,53.399,6.671,1.1,Zandeweer,induced earthquake
2023-02-23,21:00:31,250213.0315837222,590110.6212306187,53.289,6.815,0.2,Overschild,induced earthquake
2023-02-21,20:39:35,250213.0315837222,590110.6212306187,53.289,6.815,0.6,Overschild,induced earthquake
2023-02-19,17:52:48,250133.5618804843,594116.619644135,53.325,6.815,0.4,Appingedam,induced earthquake
2023-02-08,13:47:21,249069.72124808936,573501.8029339174,53.14,6.793,1.6,Sappemeer,induced earthquake
2023-01-31,14:09:06,246237.5961668516,595710.710283394,53.34,6.757,1.2,Loppersum,induced earthquake
2023-01-22,02:13:36,250944.16359737745,583557.2921032786,53.23,6.824,0.3,Schildwolde,induced earthquake
2023-01-15,09:49:09,244774.30012301932,599134.0092831725,53.371,6.736,1.8,Garsthuizen,induced earthquake
2023-01-03,09:38:31,244774.30012301932,599134.0092831725,53.371,6.736,1.3,Garsthuizen,induced earthquake
