X,Y
233338.1036,598387.4012
233363.1005,598412.3607
233388.098,598437.4005
233388.1065,598462.3588
233388.1055,598487.3973
233388.1041,598512.3658
233388.1031,598537.4042
233388.1016,598562.3626
233388.1006,598587.401
233388.0992,598612.3595
233388.0982,598637.398
233388.1068,598662.3564
233413.1043,598687.4059
233413.1028,598712.3645
233413.1018,598737.403
233413.1004,598762.3613
233413.0994,598787.3998
233413.0979,598812.3583
233413.107,598837.3967
233413.1056,598862.3652
233413.1046,598887.4035
233438.1016,598912.3633
233463.0991,598937.4029
233488.1061,598962.3626
233513.1035,598987.4022
233513.1021,599012.3607
233538.0996,599037.4003
233559.7469,599058.9975
233617.4806,599041.7611
233625.6068,599038.7649
233636.2826,599035.5646
233650.6011,599030.8035
233673.5859,599024.8838
233695.9577,599020.238
233706.922,599018.5566
233718.3204,599017.563
233725.5986,599016.8024
233733.7011,599016.7573
233742.5243,599016.7983
233750.6069,599016.7634
233775.6053,599018.5653
233796.8667,599021.118
233825.5873,599024.8799
233848.0191,599027.4461
233871.1277,599029.3986
233880.5028,599029.7566
233894.962,599030.5165
233919.7216,599030.759
233931.1433,599030.3656
233945.3072,599030.1968
233955.307,599029.5611
233971.5988,599028.8805
233979.0181,599028.319
233998.338,599027.1214
234049.2252,599023.5176
234073.1468,599022.3643
234097.2604,599021.5601
234104.0621,599021.4423
234138.1067,599020.1829
234138.1021,599037.3987
234138.1009,599062.3572
234138.0999,599087.4056
234138.0985,599112.364
234138.1075,599137.4024
234138.1062,599162.3608
234138.1052,599187.3992
234138.1037,599212.3577
234138.1029,599237.4063
234138.1015,599262.3646
234138.1006,599287.403
234138.0992,599312.3614
234138.1082,599337.3998
234138.1068,599362.3584
234138.1059,599387.3968
234138.1045,599412.3653
234138.1037,599437.4037
234138.1022,599462.3622
234138.1013,599487.4006
234138.0999,599512.3591
234138.099,599537.3974
234138.1077,599562.3659
234138.1068,599587.4044
234138.1053,599612.3627
234138.1044,599637.4013
234138.103,599662.3597
234138.1022,599687.3983
234138.1007,599712.3666
234138.0999,599737.4053
234138.1086,599762.3635
234138.1075,599787.402
234138.1062,599812.3604
234138.1053,599837.399
234138.1039,599862.3575
234138.1031,599887.4058
234138.1016,599912.3642
234138.1008,599937.4028
234138.0994,599962.3613
234138.1084,599987.3997
234138.1071,600012.3581
234138.1062,600037.4067
234138.1049,600062.3651
234138.104,600087.4036
234138.1088,600104.4694
234172.2262,600096.5272
234182.2812,600093.2003
234191.2394,600090.5194
234200.6027,600086.9664
234208.9448,600083.2387
234211.7072,600081.6828
234238.8563,600067.2772
234266.0639,600041.7873
234281.8276,600016.2911
234297.6637,599982.2116
234354.2205,599870.1695
234422.767,599760.9718
234489.5826,599653.4843
234556.0205,599553.6818
234575.608,599528.6445
234597.3837,599503.1248
234623.5056,599474.8802
234648.105,599449.8852
234713.0089,599387.2437
234738.6828,599362.9626
234750.6048,599351.8029
234764.6682,599338.9604
234813.0993,599296.6271
234813.1066,599312.3623
234813.1058,599337.4007
234788.106,599362.358
234788.1051,599387.3965
234788.1038,599412.3649
234788.1029,599437.4033
234788.1015,599462.3617
234788.1006,599487.4001
234788.1093,599512.3585
234788.1083,599537.397
234788.1071,599562.3654
234788.1061,599587.4037
234763.1064,599612.3612
234763.1055,599637.3996
234763.1041,599662.3579
234763.1033,599687.4064
234738.1034,599712.3638
234713.1042,599737.4011
234713.1028,599762.3594
234688.1034,599787.3969
234688.1022,599812.3652
234688.1012,599837.4036
234688.0998,599862.3622
234688.109,599887.4005
234663.1091,599912.3579
234638.0999,599937.4054
234613.1001,599962.3627
234613.1092,599987.4011
234588.1094,600012.3584
234588.1086,600037.4069
234563.1087,600062.3641
234538.1093,600087.4014
234538.1081,600112.3599
234513.1087,600137.4074
234488.1089,600162.3646
234463.0997,600187.402
234438.0998,600212.3594
234413.1005,600237.4068
234413.1092,600262.3652
234413.1082,600287.4037
234388.1084,600312.361
234388.1075,600337.3995
234388.1013,600359.6771
234362.1412,600386.4403
234350.6079,600400.9594
234341.6078,600415.8844
234336.8461,600424.884
234333.4887,600432.7654
234327.9091,600447.5613
234325.6001,600455.0868
234321.5059,600470.7648
234319.7805,600480.6877
234317.9639,600492.2417
234316.9661,600499.88
234316.6455,600508.8046
234316.2427,600515.5192
234315.9247,600524.8842
234316.426,600534.0845
234316.5839,600540.8859
234317.0439,600549.8865
234318.066,600557.4033
234319.2885,600568.5602
234321.0495,600579.4442
234325.6069,600603.8872
234330.3652,600624.8879
234332.0215,600631.3209
234334.645,600640.7994
234336.8863,600649.8802
234341.4461,600665.7602
234350.6097,600696.4398
234357.4959,600718.7291
234351.6029,600777.9618
234346.4963,600825.6665
234368.648,600831.8055
234375.6022,600833.9676
234387.884,600837.1204
234400.6079,600840.6409
234408.6275,600841.8866
234419.381,600843.6477
234430.6416,600844.8853
234446.1498,600845.3994
234455.4808,600845.0076
234469.0055,600843.2417
234475.6038,600842.5247
234500.6078,600836.3237
234508.9436,600833.2464
234521.5441,600828.9649
234531.5648,600824.8878
234545.008,600819.2412
234575.6015,600805.4065
234586.1845,600799.8859
234595.781,600795.0808
234625.6031,600779.2398
234650.61,600764.5659
234673.3261,600749.8846
234680.9291,600744.5606
234689.2886,600738.5621
234700.6063,600730.2464
234712.2877,600720.7982
234808.8448,600628.0103
234898.7793,600540.5409
234951.7633,600493.0403
234991.0607,600450.6076
235020.8144,600400.8856
235049.2008,600339.1169
235095.2418,600228.5237
235097.2622,600224.8813
